id,bucket,sender,subject,scenario,predicted_decision,predicted_classification,predicted_network_contact,review_correct,review_expected_decision,review_expected_classification,review_expected_network_contact,review_reason
1,ats_update,greenhouse@acme.com,Application received for Backend Engineer,ATS confirms application receipt,inbox,job_update,no,,,,,
2,ats_update,no-reply@jobs.acme.com,Your application is under review,ATS review status,inbox,job_update,no,,,,,
3,ats_update,careers@stripe.com,Thanks for applying to Stripe,company careers receipt,inbox,job_update,no,,,,,
4,ats_update,workday@myworkday.com,Application status updated in Workday,portal status update,inbox,job_update,no,,,,,
5,ats_update,notifications@lever.co,We’ve received your application,Lever receipt,inbox,job_update,no,,,,,
6,ats_update,recruiting@figma.com,Your candidacy is moving forward,next-stage update,inbox,job_update,no,,,,,
7,ats_update,talent@notion.so,Your application has been forwarded,positive update but not interview,inbox,job_update,no,,,,,
8,ats_update,jobs@openai.com,Role has been placed on hold,hold/update,inbox,job_update,no,,,,,
9,ats_update,applicant@ashbyhq.com,Application submitted successfully,Ashby confirmation,inbox,job_update,no,,,,,
10,ats_update,careers@airbnb.com,We are still reviewing your application,still-active status,inbox,job_update,no,,,,,
11,interview,scheduler@google.com,Interview availability for SWE role,choose time slots,inbox,interview_request,no,,,,,
12,interview,jane.recruiter@meta.com,Can you interview next week?,human recruiter scheduling,inbox,interview_request,yes,,,,,
13,interview,team@hire.lever.co,Schedule your first-round interview,ATS scheduler,inbox,interview_request,no,,,,,
14,interview,rebecca@startup.io,Technical interview details inside,confirmed interview details,inbox,interview_request,yes,,,,,
15,interview,interviews@acme.com,Onsite schedule for Wednesday,onsite agenda,inbox,interview_request,no,,,,,
16,interview,alex@company.com,Looking forward to our conversation tomorrow,informal but clearly interview,inbox,interview_request,yes,,,,,
17,interview,recruiting@company.com,Final round interview request,final round prompt,inbox,interview_request,no,,,,,
18,interview,calendar@greenhouse.io,Interview scheduled: Product Analyst,auto schedule confirmation,inbox,interview_request,no,,,,,
19,interview,talent@company.com,Please complete interview availability form,interview step with action,inbox,interview_request,no,,,,,
20,interview,sam.hiring@firm.com,Panel interview and prep materials,human scheduling + prep,inbox,interview_request,yes,,,,,
21,offer,recruiting@bigco.com,Offer for Senior Engineer,clear written offer,inbox,offer,no,,,,,
22,offer,julia@company.com,We’re excited to extend an offer,human offer email,inbox,offer,yes,,,,,
23,offer,peopleops@startup.io,Compensation package attached,offer package,inbox,offer,no,,,,,
24,offer,hiring@firm.com,Verbal offer and next steps,offer-like but real offer,inbox,offer,no,,,,,
25,offer,talent@company.com,Updated offer letter for review,revised offer,inbox,offer,no,,,,,
26,offer,ceo@smallco.io,We’d love to have you join us,small company founder offer,inbox,offer,yes,,,,,
27,offer,recruiting@company.com,Equity and salary details,offer details,inbox,offer,no,,,,,
28,offer,team@company.com,Offer deadline reminder,offer reminder,inbox,offer,no,,,,,
29,offer,hr@company.com,Background check before offer completion,offer-stage operational mail,inbox,offer,no,,,,,
30,offer,hello@company.com,You have an offer pending acceptance,portal-driven offer,inbox,offer,no,,,,,
31,rejection,no-reply@greenhouse.io,Update on your application,classic ATS rejection,inbox,rejection,no,,,,,
32,rejection,recruiting@company.com,We will not be moving forward,plain rejection,inbox,rejection,no,,,,,
33,rejection,jordan@company.com,We chose to pursue other candidates,human soft rejection,inbox,rejection,yes,,,,,
34,rejection,team@company.com,The role has been filled,rejection by filled role,inbox,rejection,no,,,,,
35,rejection,careers@company.com,You have not been selected at this time,soft rejection phrase,inbox,rejection,no,,,,,
36,rejection,talent@company.com,We’re unable to advance your candidacy,soft rejection,inbox,rejection,no,,,,,
37,rejection,hiring@company.com,We were impressed but won’t proceed,nuanced rejection,inbox,rejection,no,,,,,
38,rejection,people@company.com,Position closed before final decisions,rejection/closed role,inbox,rejection,no,,,,,
39,rejection,applicant@workday.com,Application no longer under consideration,portal phrasing,inbox,rejection,no,,,,,
40,rejection,recruiter@company.com,We may revisit your profile later,rejection with future hedge,inbox,rejection,yes,,,,,
41,action_item,assessments@codesignal.com,Complete your coding assessment,assessment required,inbox,action_item,no,,,,,
42,action_item,recruiting@company.com,Please submit your availability,needs user action,inbox,action_item,no,,,,,
43,action_item,hire@company.com,Please fill out our questionnaire,questionnaire request,inbox,action_item,no,,,,,
44,action_item,backgroundcheck@company.com,Action required: consent form,post-offer action,inbox,action_item,no,,,,,
45,action_item,talent@company.com,Upload your work authorization docs,document action,inbox,action_item,no,,,,,
46,action_item,jane@company.com,Can you send your portfolio?,human action request,conversation,conversation,yes,,,,,
47,action_item,recruiting@company.com,Reminder: finish the take-home,follow-up on task,inbox,action_item,no,,,,,
48,action_item,interviews@company.com,Confirm your interview attendance,attendance confirmation,inbox,action_item,no,,,,,
49,action_item,people@company.com,Please respond by Friday,deadline response needed,inbox,action_item,no,,,,,
50,action_item,alex.manager@company.com,Could you answer a few questions before we proceed,human pre-screen ask,conversation,conversation,yes,,,,,
51,conversation,recruiter@company.com,Great to connect,human outreach,conversation,conversation,yes,,,,,
52,conversation,manager@company.com,Following up on our chat,human follow-up,conversation,conversation,yes,,,,,
53,conversation,alex@company.com,Do you have time this week?,recruiter conversation,conversation,conversation,yes,,,,,
54,conversation,jane.doe@company.com,Next steps after our interview,human thread,conversation,conversation,yes,,,,,
55,conversation,sam@company.com,Checking in on your search,casual recruiter outreach,conversation,conversation,yes,,,,,
56,conversation,rebecca@company.com,Would you be open to relocating?,real candidate conversation,conversation,conversation,yes,,,,,
57,conversation,hiring.manager@company.com,Question about your experience,screening question,conversation,conversation,yes,,,,,
58,conversation,coordinator@company.com,Can you confirm receipt?,human coordinator thread,conversation,conversation,yes,,,,,
59,conversation,talentpartner@company.com,Sharing a few thoughts from the team,ongoing thread,conversation,conversation,yes,,,,,
60,conversation,founder@startup.io,Interested in chatting about this role,founder outreach,conversation,conversation,yes,,,,,
61,company_noise,noreply@github.com,[repo] workflow run failed,tooling noise,filter,not_relevant,no,,,,,
62,company_noise,hello@notify.railway.app,Build failed for your project,platform ops mail,filter,not_relevant,no,,,,,
63,company_noise,notifications@vercel.com,Deployment completed,Vercel deploy mail,filter,not_relevant,no,,,,,
64,company_noise,security@company.com,Reset your password,security mail from company domain,filter,not_relevant,no,,,,,
65,company_noise,billing@company.com,Invoice for March,billing mail,filter,not_relevant,no,,,,,
66,company_noise,news@company.com,Product updates from our team,newsletter,filter,not_relevant,no,,,,,
67,company_noise,marketing@figma.com,Join our webinar next week,company-domain promo,filter,not_relevant,no,,,,,
68,company_noise,events@company.com,Register for our campus event,brand/event mail,filter,not_relevant,no,,,,,
69,company_noise,no-reply@linkedin.com,You appeared in 20 searches,LinkedIn system mail,filter,not_relevant,no,,,,,
70,company_noise,community@railway.app,Welcome to Railway,platform onboarding,filter,not_relevant,no,,,,,
71,borderline,careers@company.com,Join our talent network,company recruiting but not active application,filter,not_relevant,no,,,,,
72,borderline,recruiting@company.com,We’ll keep your resume on file,rejection-adjacent but not active pipeline,inbox,rejection,no,,,,,
73,borderline,talent@company.com,The role is on hold for now,active application update,inbox,job_update,no,,,,,
74,borderline,recruiter@company.com,We may revisit your candidacy in Q3,soft rejection,inbox,rejection,yes,,,,,
75,borderline,no-reply@company.com,Check your applicant portal for updates,active-app portal note,inbox,job_update,no,,,,,
76,borderline,events@company.com,Meet our hiring team next Thursday,recruiting event promo,filter,not_relevant,no,,,,,
77,borderline,jane@company.com,Thanks for applying — can we stay in touch?,recruiter relationship but no active step,conversation,conversation,yes,,,,,
78,borderline,talent@company.com,We’re pausing interviews this week,job-related update,inbox,job_update,no,,,,,
79,borderline,hello@company.com,Your profile matches future opportunities,talent pool marketing,filter,not_relevant,no,,,,,
80,borderline,recruiting@company.com,Would love to revisit another role,not same application but human recruiter thread,conversation,conversation,yes,,,,,
81,network_extract,jane.recruiter@company.com,Intro call next steps,signature contains full title/phone/linkedin,conversation,conversation,yes,,,,,
82,network_extract,talent@company.com,Thanks for your interest,team alias but signature has real person,conversation,conversation,yes,,,,,
83,network_extract,rebecca@company.com,Interview prep attached,signature has name/title/company only,conversation,conversation,yes,,,,,
84,network_extract,coordinator@company.com,Final round details,coordinator signature with phone,conversation,conversation,yes,,,,,
85,network_extract,alex@company.com,Can you send writing samples?,human email no signature,conversation,conversation,yes,,,,,
86,network_extract,noreply@company.com,Assessment instructions,non-human no contact,filter,not_relevant,no,,,,,
87,network_extract,theteam@company.com,Thanks for applying,team alias no person,filter,not_relevant,no,,,,,
88,network_extract,recruiting@company.com,Meet Priya,signature mentions Priya and another person,conversation,conversation,yes,,,,,
89,network_extract,calendar@company.com,Your interview itinerary,calendar robot should not create contact,inbox,interview_request,no,,,,,
90,network_extract,hello@company.com,Webinar reminder with speaker bios,contains names but not contacts,filter,not_relevant,no,,,,,
91,thread_edge,recruiter@company.com,Re: Backend Engineer application,thread started as application then becomes scheduling,conversation,conversation,yes,,,,,
92,thread_edge,no-reply@greenhouse.io,Re: Application update,thread with ATS updates only,inbox,job_update,no,,,,,
93,thread_edge,recruiter@company.com,Re: Thanks for your time,long mixed thread with recruiter and coordinator,conversation,conversation,yes,,,,,
94,thread_edge,team@company.com,Fwd: Interview details,forwarded interview info,inbox,interview_request,no,,,,,
95,thread_edge,recruiter@company.com,Re: Offer discussion,thread contains salary/details,conversation,conversation,yes,,,,,
96,thread_edge,no-reply@company.com,Re: Your application status,portal thread after rejection,inbox,rejection,no,,,,,
97,thread_edge,jane@company.com,Re: Can you talk tomorrow?,informal reply-all recruiter thread,conversation,conversation,yes,,,,,
98,thread_edge,recruiting@company.com,Re: Additional questions,mixed human/system but clearly ongoing human thread,conversation,conversation,yes,,,,,
99,thread_edge,alerts@company.com,Re: Application reminder,thread-like but automated reminder,inbox,action_item,no,,,,,
100,thread_edge,linkedin@em.linkedin.com,Re: Practical guide is coming soon,thread-like promo that mentions career,filter,not_relevant,no,,,,,
